date,symbol,open,high,low,close,volume
2023-01-02,RELIANCE,993.03,999.8,988.91,990.99,1341869
2023-01-03,RELIANCE,976.41,991.69,964.12,986.32,1066171
2023-01-04,RELIANCE,992.28,1008.69,982.75,1005.76,1729236
2023-01-05,RELIANCE,1006.58,1011.11,1005.81,1009.69,1077009
2023-01-06,RELIANCE,1002.15,1006.4,999.51,1003.78,2285492
2023-01-09,RELIANCE,981.39,989.02,974.86,984.32,1981175
2023-01-10,RELIANCE,1005.02,1010.4,997.03,1003.21,1419287
2023-01-11,RELIANCE,1014.66,1029.36,991.78,1015.5,637786
2023-01-12,RELIANCE,1004.7,1010.99,1004.5,1010.66,1805531
2023-01-13,RELIANCE,1010.62,1016.84,1007.65,1015.06,1033095
2023-01-16,RELIANCE,999.67,1014.39,989.91,998.93,1428358
2023-01-17,RELIANCE,983.66,993.97,978.31,983.28,1252567
2023-01-18,RELIANCE,970.47,976.08,969.37,970.81,2296212
2023-01-19,RELIANCE,987.84,997.11,972.65,976.75,1993667
2023-01-20,RELIANCE,980.56,983.66,979.06,981.83,2323467
2023-01-23,RELIANCE,971.23,979.41,969.66,970.62,1165569
2023-01-24,RELIANCE,977.71,985.93,974.74,982.59,744071
2023-01-25,RELIANCE,993.68,999.24,986.76,995.45,697807
2023-01-26,RELIANCE,1001.29,1005.32,985.0,998.66,2099294
2023-01-27,RELIANCE,1018.74,1019.88,1009.37,1015.85,1938050
2023-01-30,RELIANCE,1010.86,1015.99,1009.56,1011.64,2254636
2023-01-31,RELIANCE,1012.27,1015.79,1008.61,1010.27,1838729
2023-02-01,RELIANCE,1018.69,1021.2,1013.65,1018.4,1263157
2023-02-02,RELIANCE,1008.73,1021.16,1003.41,1018.3,829272
2023-02-03,RELIANCE,1014.89,1038.14,1005.68,1031.79,1299317
2023-02-06,RELIANCE,1023.46,1023.76,998.98,1011.77,1910425
2023-02-07,RELIANCE,1039.88,1041.11,1029.74,1035.58,1836986
2023-02-08,RELIANCE,1022.88,1037.61,1020.22,1023.18,1721844
2023-02-09,RELIANCE,1012.07,1021.29,1004.09,1020.94,2250484
2023-02-10,RELIANCE,992.76,1005.53,982.26,999.14,1262189
2023-02-13,RELIANCE,1016.07,1016.53,1007.86,1009.23,1272166
2023-02-14,RELIANCE,1016.11,1034.24,1010.88,1030.48,1640818
2023-02-15,RELIANCE,1047.06,1052.59,1041.33,1048.76,1429849
2023-02-16,RELIANCE,1067.93,1074.94,1054.52,1063.31,1504966
2023-02-17,RELIANCE,1038.36,1038.45,1026.15,1037.62,1696974
2023-02-20,RELIANCE,1029.04,1034.02,1010.6,1025.17,2028335
2023-02-21,RELIANCE,1017.4,1021.53,1014.16,1018.07,922301
2023-02-22,RELIANCE,1015.42,1025.32,991.09,1003.41,2312700
2023-02-23,RELIANCE,1016.8,1023.16,1007.62,1022.06,1259156
2023-02-24,RELIANCE,1018.56,1034.89,1017.56,1025.54,1213663
2023-02-27,RELIANCE,1027.01,1029.18,1015.04,1025.6,1368195
2023-02-28,RELIANCE,1041.49,1048.66,1033.25,1034.1,762527
2023-03-01,RELIANCE,1018.65,1023.92,1008.02,1018.93,907610
2023-03-02,RELIANCE,1009.95,1011.12,1002.05,1004.68,1256264
2023-03-03,RELIANCE,988.43,1011.94,983.91,991.06,1100134
2023-03-06,RELIANCE,993.51,1006.02,984.9,999.43,1678974
2023-03-07,RELIANCE,1012.4,1020.5,1003.11,1005.36,1710439
2023-03-09,RELIANCE,1023.12,1025.0,1011.98,1015.16,1061541
2023-03-10,RELIANCE,1041.21,1048.32,1030.86,1033.29,2176620
2023-03-13,RELIANCE,1009.33,1020.98,1004.93,1011.55,878547
2023-03-14,RELIANCE,997.17,1009.83,991.21,1002.97,1184913
2023-03-15,RELIANCE,999.91,1009.2,994.06,1005.79,981588
2023-03-16,RELIANCE,983.65,991.18,982.33,984.76,1902472
2023-03-17,RELIANCE,979.7,982.95,971.35,976.85,2127458
2023-03-20,RELIANCE,995.8,997.35,993.25,993.28,2280280
2023-03-21,RELIANCE,1004.16,1014.39,1000.59,1011.41,1885122
2023-03-22,RELIANCE,1030.45,1032.06,1019.76,1029.45,873234
2023-03-23,RELIANCE,1030.71,1040.68,1029.3,1030.62,826054
2023-03-24,RELIANCE,1028.06,1039.91,1026.32,1027.59,784286
2023-03-27,RELIANCE,1045.84,1046.73,1031.42,1045.97,1139087
2023-03-28,RELIANCE,1039.17,1054.76,1015.71,1040.22,1153239
2023-03-29,RELIANCE,1049.44,1057.74,1037.56,1046.33,1087581
2023-03-30,RELIANCE,1069.92,1075.67,1046.35,1069.24,1972224
2023-03-31,RELIANCE,1064.64,1073.72,1062.98,1063.45,802394
2023-04-03,RELIANCE,1049.94,1055.47,1045.77,1053.58,965676
2023-04-04,RELIANCE,1055.98,1059.88,1048.0,1053.9,2110214
2023-04-05,RELIANCE,1063.87,1065.34,1061.13,1064.52,1956053
2023-04-06,RELIANCE,1061.9,1082.07,1054.93,1073.25,1120415
2023-04-07,RELIANCE,1079.01,1085.58,1060.88,1076.41,1557739
2023-04-10,RELIANCE,1085.09,1090.81,1082.02,1086.53,1616790
2023-04-11,RELIANCE,1064.45,1067.37,1057.73,1059.55,2060013
2023-04-12,RELIANCE,1044.7,1049.62,1035.7,1045.55,1288239
2023-04-14,RELIANCE,1048.25,1051.62,1044.37,1048.76,1342285
2023-04-17,RELIANCE,1034.85,1036.21,1030.03,1033.75,726211
2023-04-18,RELIANCE,1012.19,1013.35,1008.87,1012.25,733171
2023-04-19,RELIANCE,991.11,1005.8,989.17,993.33,665526
2023-04-20,RELIANCE,970.5,982.63,968.53,979.28,1675038
2023-04-21,RELIANCE,985.93,989.02,970.78,976.93,1850365
2023-04-24,RELIANCE,953.92,964.53,944.1,961.51,1400804
2023-04-25,RELIANCE,963.91,967.59,956.43,965.56,1730359
2023-04-26,RELIANCE,995.81,1005.33,983.95,992.57,2339885
2023-04-27,RELIANCE,992.56,997.8,988.0,990.68,1486097
2023-04-28,RELIANCE,1014.41,1016.28,1010.28,1011.54,1539430
2023-05-01,RELIANCE,1020.59,1020.73,1015.89,1016.68,919161
2023-05-02,RELIANCE,1005.39,1005.47,995.99,999.08,2191924
2023-05-03,RELIANCE,996.91,997.02,994.89,995.43,1212878
2023-05-04,RELIANCE,994.61,1002.0,976.13,980.36,1862834
2023-05-05,RELIANCE,987.89,994.95,975.05,992.92,1512524
2023-05-08,RELIANCE,976.32,990.7,969.3,975.21,2378263
2023-05-09,RELIANCE,994.72,997.04,986.83,996.52,988538
2023-05-10,RELIANCE,1003.49,1018.6,1001.83,1006.23,1138171
2023-05-11,RELIANCE,976.03,979.11,968.77,974.63,1637755
2023-05-12,RELIANCE,994.58,999.93,987.03,987.39,903664
2023-05-15,RELIANCE,1009.09,1015.14,986.79,1012.68,2111288
2023-05-16,RELIANCE,996.85,1004.61,985.84,1000.4,2235026
2023-05-17,RELIANCE,1020.44,1024.25,1010.83,1016.76,919924
2023-05-18,RELIANCE,991.05,993.56,987.52,988.36,1846086
2023-05-19,RELIANCE,1002.52,1006.18,981.89,992.81,2275945
2023-05-22,RELIANCE,972.17,975.61,965.41,967.2,1201995
2023-05-23,RELIANCE,976.25,987.66,964.09,975.13,1513968
2023-05-24,RELIANCE,946.49,952.71,937.72,948.06,1920523
2023-05-25,RELIANCE,910.34,913.46,902.76,909.36,2359761
2023-05-26,RELIANCE,914.75,924.65,913.41,915.55,869612
2023-05-29,RELIANCE,943.63,954.41,936.87,950.11,2341979
2023-05-30,RELIANCE,941.56,951.71,936.58,941.52,2294007
2023-05-31,RELIANCE,953.71,957.78,950.36,954.54,714976
2023-06-01,RELIANCE,955.55,965.63,951.73,956.67,2158044
2023-06-02,RELIANCE,950.11,966.59,948.65,952.16,1827215
2023-06-05,RELIANCE,970.14,983.65,959.72,962.01,2001470
2023-06-06,RELIANCE,991.51,1000.74,980.67,988.07,1037929
2023-06-07,RELIANCE,973.71,979.49,968.32,969.17,1855833
2023-06-08,RELIANCE,975.42,992.75,966.97,978.39,1717631
2023-06-09,RELIANCE,979.22,986.62,967.09,984.26,700675
2023-06-12,RELIANCE,961.15,973.17,947.59,962.51,2201245
2023-06-13,RELIANCE,989.35,997.87,984.5,988.15,1723569
2023-06-14,RELIANCE,1018.15,1033.94,1010.63,1019.91,1424731
2023-06-15,RELIANCE,1003.99,1009.6,996.27,1004.93,746987
2023-06-16,RELIANCE,1038.7,1048.96,1033.55,1033.73,1775235
2023-06-19,RELIANCE,1036.68,1045.69,1033.47,1035.13,1331317
2023-06-20,RELIANCE,1027.81,1038.71,1016.17,1032.89,1802082
2023-06-21,RELIANCE,1056.25,1073.58,1051.59,1058.52,1771320
