date,city,temp_c,rain_mm,humidity_pct,pressure_hpa,wind_kmh,aqi
2022-01-01,Delhi,14.2,3.0,78.0,1011.8,9.1,170.0
2022-01-02,Delhi,14.7,0.9,59.0,1017.7,13.6,173.0
2022-01-03,Delhi,13.7,0.5,53.0,1017.1,4.9,176.0
2022-01-04,Delhi,12.7,0.0,61.0,1009.9,14.3,196.0
2022-01-05,Delhi,13.4,2.1,70.0,1010.5,15.3,187.0
2022-01-06,Delhi,12.5,0.0,60.0,1017.3,11.3,187.0
2022-01-07,Delhi,14.1,0.1,65.0,1018.9,17.7,199.0
2022-01-08,Delhi,16.2,0.3,61.0,1005.8,9.8,198.0
2022-01-09,Delhi,13.2,1.0,58.0,1010.0,3.7,221.0
2022-01-10,Delhi,13.0,0.0,82.0,1012.7,9.4,192.0
2022-01-11,Delhi,14.8,0.3,61.0,1016.6,5.0,178.0
2022-01-12,Delhi,14.6,0.8,56.0,1008.3,1.2,197.0
2022-01-13,Delhi,14.2,0.2,57.0,1014.2,1.3,224.0
2022-01-14,Delhi,12.5,0.5,63.0,1010.4,17.4,189.0
2022-01-15,Delhi,14.0,0.5,63.0,1021.2,4.6,200.0
2022-01-16,Delhi,15.1,0.9,65.0,1013.3,6.9,194.0
2022-01-17,Delhi,11.9,6.3,60.0,1011.0,4.0,208.0
2022-01-18,Delhi,13.3,0.4,49.0,1010.2,7.7,206.0
2022-01-19,Delhi,11.0,3.6,63.0,1015.7,6.0,188.0
2022-01-20,Delhi,12.0,0.6,57.0,1014.2,5.2,199.0
2022-01-21,Delhi,11.2,0.6,57.0,1007.1,1.6,220.0
2022-01-22,Delhi,13.8,0.2,48.0,1012.3,0.7,224.0
2022-01-23,Delhi,12.2,2.6,55.0,1006.0,3.7,221.0
2022-01-24,Delhi,14.6,2.9,53.0,1008.3,8.4,221.0
2022-01-25,Delhi,14.5,0.0,58.0,1006.1,16.4,200.0
2022-01-26,Delhi,14.0,3.4,48.0,1005.9,11.8,200.0
2022-01-27,Delhi,10.3,0.1,58.0,1008.4,15.3,224.0
2022-01-28,Delhi,13.5,0.6,59.0,1007.2,9.2,187.0
2022-01-29,Delhi,14.4,0.6,50.0,1013.2,6.7,207.0
2022-01-30,Delhi,14.7,0.4,53.0,1014.2,1.1,176.0
2022-01-31,Delhi,12.1,4.5,52.0,1010.0,7.1,203.0
2022-02-01,Delhi,13.8,0.1,64.0,1006.4,2.6,198.0
2022-02-02,Delhi,13.1,0.6,40.0,1014.1,5.7,189.0
2022-02-03,Delhi,13.5,0.0,55.0,1002.7,14.4,221.0
2022-02-04,Delhi,16.5,0.2,45.0,1003.0,8.6,199.0
2022-02-05,Delhi,13.6,0.3,54.0,1013.6,12.2,206.0
2022-02-06,Delhi,14.9,0.0,63.0,1013.3,5.4,208.0
